date,open,high,low,close,volume,dividend,split
2022-05-25,1864.21,1868.04,1842.48,1853.08,0,0.0,1.0
2022-05-26,1852.98,1854.29,1840.57,1850.48,0,0.0,1.0
2022-05-27,1850.18,1861.89,1847.94,1852.82,0,0.0,1.0
2022-05-30,1852.44,1863.93,1848.12,1855.11,0,0.0,1.0
2022-05-31,1855.85,1857.1,1835.04,1837.32,0,0.0,1.0
2022-06-01,1836.77,1850.0,1828.44,1846.52,0,0.0,1.0
2022-06-02,1846.87,1870.33,1844.01,1868.33,0,0.0,1.0
2022-06-03,1868.67,1874.01,1847.28,1850.82,0,0.0,1.0
2022-06-06,1850.02,1857.68,1840.57,1841.86,0,0.0,1.0
2022-06-07,1840.34,1855.51,1836.98,1852.19,0,0.0,1.0
2022-06-08,1852.59,1859.61,1844.56,1852.36,0,0.0,1.0
2022-06-09,1851.54,1855.29,1839.93,1847.64,0,0.0,1.0
2022-06-10,1847.84,1875.86,1824.98,1871.17,0,0.0,1.0
2022-06-13,1875.02,1878.99,1818.79,1819.1,0,0.0,1.0
2022-06-14,1819.78,1831.5,1805.02,1808.3,0,0.0,1.0
2022-06-15,1807.99,1841.7,1807.39,1834.08,0,0.0,1.0
2022-06-16,1832.78,1857.45,1815.56,1856.69,0,0.0,1.0
2022-06-17,1856.22,1856.33,1833.79,1839.9,0,0.0,1.0
2022-06-20,1837.36,1846.12,1834.57,1838.33,0,0.0,1.0
2022-06-21,1837.88,1843.58,1828.5,1833.33,0,0.0,1.0
2022-06-22,1832.66,1847.84,1823.37,1837.57,0,0.0,1.0
2022-06-23,1837.87,1846.02,1822.45,1822.52,0,0.0,1.0
2022-06-24,1823.04,1831.72,1816.85,1826.9,0,0.0,1.0
2022-06-27,1837.08,1840.99,1820.66,1822.58,0,0.0,1.0
2022-06-28,1822.21,1829.47,1818.37,1820.36,0,0.0,1.0
2022-06-29,1819.68,1833.03,1811.9,1817.66,0,0.0,1.0
2022-06-30,1817.45,1821.94,1804.8,1807.22,0,0.0,1.0
2022-07-01,1807.48,1809.24,1784.46,1808.9,0,0.0,1.0
2022-07-04,1811.52,1814.21,1803.89,1807.05,0,0.0,1.0
2022-07-05,1807.61,1812.06,1763.83,1764.81,0,0.0,1.0
2022-07-06,1765.2,1772.81,1732.16,1739.28,0,0.0,1.0
2022-07-07,1738.92,1749.06,1736.45,1740.04,0,0.0,1.0
2022-07-08,1739.84,1752.35,1727.77,1742.45,0,0.0,1.0
2022-07-11,1742.09,1744.62,1731.28,1733.81,0,0.0,1.0
2022-07-12,1733.66,1744.57,1723.18,1726.11,0,0.0,1.0
2022-07-13,1725.88,1745.38,1707.25,1735.51,0,0.0,1.0
2022-07-14,1734.29,1736.32,1697.53,1709.92,0,0.0,1.0
2022-07-15,1710.44,1716.54,1699.03,1707.16,0,0.0,1.0
2022-07-18,1707.45,1723.88,1705.85,1709.18,0,0.0,1.0
2022-07-19,1709.43,1718.44,1705.27,1711.44,0,0.0,1.0
2022-07-20,1711.0,1714.53,1692.39,1696.72,0,0.0,1.0
2022-07-21,1696.49,1720.31,1680.79,1719.09,0,0.0,1.0
2022-07-22,1717.71,1739.23,1712.78,1727.12,0,0.0,1.0
2022-07-25,1726.54,1736.22,1714.72,1719.72,0,0.0,1.0
2022-07-26,1719.3,1728.22,1713.59,1717.24,0,0.0,1.0
2022-07-27,1717.37,1740.14,1711.42,1734.31,0,0.0,1.0
2022-07-28,1733.51,1757.08,1733.43,1755.9,0,0.0,1.0
2022-07-29,1755.74,1767.92,1751.99,1766.01,0,0.0,1.0
2022-08-01,1765.38,1775.19,1758.26,1771.97,0,0.0,1.0
2022-08-02,1772.34,1788.0,1760.41,1760.84,0,0.0,1.0
2022-08-03,1761.41,1772.73,1754.25,1765.27,0,0.0,1.0
2022-08-04,1765.14,1794.92,1763.15,1790.82,0,0.0,1.0
2022-08-05,1791.1,1794.85,1764.95,1775.4,0,0.0,1.0
2022-08-08,1773.31,1790.02,1770.76,1789.34,0,0.0,1.0
2022-08-09,1788.88,1800.37,1783.18,1794.47,0,0.0,1.0
2022-08-10,1794.98,1807.89,1787.2,1792.22,0,0.0,1.0
2022-08-11,1792.18,1799.23,1783.43,1789.39,0,0.0,1.0
2022-08-12,1789.32,1802.14,1784.89,1801.62,0,0.0,1.0
2022-08-15,1801.52,1802.3,1772.93,1779.42,0,0.0,1.0
2022-08-16,1779.58,1783.14,1771.36,1775.74,0,0.0,1.0
2022-08-17,1775.76,1782.28,1759.65,1762.17,0,0.0,1.0
2022-08-18,1761.92,1772.37,1755.3,1758.32,0,0.0,1.0
2022-08-19,1759.04,1759.43,1745.47,1747.28,0,0.0,1.0
2022-08-22,1746.62,1749.06,1727.74,1735.79,0,0.0,1.0
2022-08-23,1736.13,1754.06,1730.77,1747.85,0,0.0,1.0
2022-08-24,1748.3,1755.83,1742.43,1751.53,0,0.0,1.0
2022-08-25,1751.37,1765.47,1749.79,1758.33,0,0.0,1.0
2022-08-26,1758.52,1758.9,1734.15,1738.0,0,0.0,1.0
2022-08-29,1735.96,1745.48,1720.31,1737.38,0,0.0,1.0
2022-08-30,1737.3,1740.47,1721.16,1724.28,0,0.0,1.0
2022-08-31,1723.22,1726.5,1709.56,1710.99,0,0.0,1.0
2022-09-01,1711.0,1711.43,1688.8,1697.19,0,0.0,1.0
2022-09-02,1697.02,1717.95,1694.99,1712.79,0,0.0,1.0
2022-09-05,1711.44,1715.76,1707.7,1710.0,0,0.0,1.0
2022-09-06,1709.76,1726.67,1699.81,1701.68,0,0.0,1.0
2022-09-07,1702.14,1719.37,1691.39,1718.26,0,0.0,1.0
2022-09-08,1717.91,1728.18,1703.93,1708.68,0,0.0,1.0
2022-09-09,1708.6,1729.48,1708.44,1716.85,0,0.0,1.0
2022-09-12,1718.1,1735.1,1711.95,1724.54,0,0.0,1.0
2022-09-13,1724.68,1731.77,1697.04,1702.34,0,0.0,1.0
2022-09-14,1701.54,1707.02,1693.61,1697.35,0,0.0,1.0
2022-09-15,1697.28,1698.21,1660.31,1664.49,0,0.0,1.0
2022-09-16,1665.27,1680.29,1654.13,1675.01,0,0.0,1.0
2022-09-19,1675.08,1679.93,1659.64,1675.62,0,0.0,1.0
